Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1977-10-18,3995.0000
1977-10-19,3935.0000
1977-10-20,3934.0000
1977-10-21,3956.0000
1977-10-24,3995.0000
1977-10-25,3990.0000
1977-10-26,3998.0000
1977-10-27,4035.0000
1977-10-28,4015.0000
1977-10-31,4039.0000
1977-11-01,4079.0000
1977-11-02,4060.0000
1977-11-03,4029.0000
1977-11-04,4039.0000
1977-11-07,4039.0000
1977-11-08,4068.0000
1977-11-09,4065.0000
1977-11-10,4070.0000
1977-11-11,4071.0000
1977-11-14,4087.0000
1977-11-15,4093.0000
1977-11-16,4088.0000
1977-11-17,4105.0000
1977-11-18,4137.0000
1977-11-21,4137.0000
1977-11-22,4172.0000
1977-11-23,4180.0000
1977-11-25,4203.8000
1977-11-28,4195.6000
1977-11-29,4145.4000
1977-11-30,4127.4000
1977-12-01,4147.0000
1977-12-02,4167.0000
1977-12-05,4164.0000
1977-12-06,4184.0000
1977-12-07,4183.0000
1977-12-08,4152.0000
1977-12-09,4144.0000
1977-12-12,4164.0000
1977-12-13,4194.0000
1977-12-14,4228.0000
1977-12-15,4221.0000
1977-12-16,4195.0000
1977-12-19,4200.0000
1977-12-20,4207.0000
1977-12-21,4179.0000
1977-12-22,4197.0000
1977-12-23,4177.0000
1977-12-27,4194.0000
1977-12-28,4217.0000
1977-12-29,4211.0000
1977-12-30,4216.0000
1978-01-03,4271.0000
1978-01-04,4211.0000
1978-01-05,4198.0000
1978-01-06,4185.0000
1978-01-09,4175.0000
1978-01-10,4176.0000
1978-01-11,4206.0000
1978-01-12,4180.0000
1978-01-13,4180.0000
1978-01-16,4174.0000
1978-01-17,4164.0000
1978-01-18,4151.0000
1978-01-19,4165.0000
1978-01-20,4165.0000
1978-01-23,4170.0000
1978-01-24,4158.0000
1978-01-25,4176.0000
1978-01-26,4182.0000
1978-01-27,4159.0000
1978-01-30,4146.0000
1978-01-31,4160.0000
1978-02-01,4159.0000
1978-02-02,4152.0000
1978-02-03,4145.0000
1978-02-06,4156.0000
1978-02-07,4154.0000
1978-02-08,4154.0000
1978-02-09,4157.0000
1978-02-10,4149.0000
1978-02-13,4167.0000
1978-02-14,4170.0000
1978-02-15,4170.0000
